17
16,  0,   0.122211,  0.4057347,    0.31139,  0.9706981, 0, 0, 0,  0.93, 1, 1, 1, 0, 0, 0, 0, 0,
15,  0,  0.1283701,  0.4135675,  0.3719069,  0.6328082, 0, 0, 0,  0.93, 1, 1, 1, 0, 0, 0, 0, 0,
14,  0,  0.1522431,  0.4239576,  0.2072292,  1.8341921, 0, 0, 0,  0.89, 1, 1, 1, 0, 0, 0, 0, 0,
13,  0,   0.142872,  0.4613803,  0.3704355,  0.9707282, 0, 0, 0,  0.92, 1, 1, 1, 0, 0, 0, 0, 0,
12,  0,   0.128333,  0.4983447,   0.351669,  1.4752499, 0, 0, 0,  0.89, 1, 1, 1, 0, 0, 0, 0, 0,
11,  0,  0.1674584,  0.5089484,  0.3387306,  1.6678314, 0, 0, 0,  0.85, 1, 1, 1, 0, 0, 0, 0, 0,
10,  0,  0.1693715,  0.5444791,  0.3232709,  2.0786024, 0, 0, 0,  0.84, 1, 1, 1, 0, 0, 0, 0, 0,
 9,  0,  0.2054836,  0.5970536,   0.444176,  1.4485897, 0, 0, 0,  0.82, 1, 1, 1, 0, 0, 0, 0, 0,
 8,  0,  0.1656183,  0.6426966,  0.6674484,  0.2755046, 0, 0, 0,  0.99, 1, 1, 1, 0, 0, 0, 0, 0,
 7,  0,  0.1807546,  0.7010885,  0.7440676,    0.13386, 0, 0, 0,  0.99, 1, 1, 1, 0, 0, 0, 0, 0,
 6,  0,  0.1965648,  0.7505334,  0.8079629,  0.2174613, 0, 0, 0,  0.99, 1, 1, 1, 0, 0, 0, 0, 0,
 5,  0,  0.2221826,  0.8318731,  0.8747088,  0.1805032, 0, 0, 0,  0.99, 1, 1, 1, 0, 0, 0, 0, 0,
 4,  0,  0.2359861,  0.9080443,  0.9526082,  0.2417231, 0, 0, 0,   1.0, 1, 1, 1, 0, 0, 0, 0, 0,
 3,  0,  0.2657101,  1.0131462,  1.0856571,  0.1579259, 0, 0, 0,  0.99, 1, 1, 1, 0, 0, 0, 0, 0,
 2,  0,  0.3137562,    1.14877,  1.1850583,  0.2134067, 0, 0, 0,   1.0, 1, 1, 1, 0, 0, 0, 0, 0,
 1,  0,  0.3630364,   1.295977,  1.3889567,  0.2244602, 0, 0, 0,   1.0, 1, 1, 1, 0, 0, 0, 0, 0,
 0,  0,  0.4452349,   1.564814,  1.6729903,   0.273804, 0, 0, 0,   1.0, 1, 1, 1, 0, 0, 0, 0, 0,
